Stage,Architecture,Model_Size,Hidden_Size,Seed,Unique_Parameters,Total_Parameters,Effective_Depth,Shared_Ratio,Dataset,Category,Loop_Depth,Mean_Preference_Rate,Std_Preference_Rate,Mean_Effect_Size,Trajectory_Shape,Timestamp
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,ALL,1,0.494949494949495,0.5012418562445881,-0.008040830480454883,OSCILLATING,2026-07-27T10:41:19.054182Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,0,1,0.5671641791044776,0.49920787547858875,0.0289390906405453,OSCILLATING,2026-07-27T10:41:19.055025Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,1,1,0.3333333333333333,0.48304589153964794,-0.0786748689318459,OSCILLATING,2026-07-27T10:41:19.055282Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,2,1,0.47368421052631576,0.506009406240056,-0.02685993317197096,OSCILLATING,2026-07-27T10:41:19.055532Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,3,1,0.5714285714285714,0.5345224838248488,0.05305646714710045,CONVERGENT,2026-07-27T10:41:19.055766Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,4,1,0.4166666666666667,0.5036101551853348,-0.04254847500059341,CONVERGENT,2026-07-27T10:41:19.055985Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,5,1,0.6666666666666666,0.49236596391733095,0.06777019856415138,OSCILLATING,2026-07-27T10:41:19.056208Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,6,1,0.16666666666666666,0.408248290463863,-0.1471440951029459,OSCILLATING,2026-07-27T10:41:19.056434Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,7,1,0.42857142857142855,0.5135525910130955,-0.07910916739537908,OSCILLATING,2026-07-27T10:41:19.056631Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,8,1,0.6666666666666666,0.5,0.10764054015830699,OSCILLATING,2026-07-27T10:41:19.056841Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,ALL,2,0.5151515151515151,0.5010372259620268,0.039129378389316904,OSCILLATING,2026-07-27T10:41:19.057633Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,0,2,0.6119402985074627,0.49098614066093726,0.08685490153245749,OSCILLATING,2026-07-27T10:41:19.058341Z
