Stage,Architecture,Model_Size,Hidden_Size,Seed,Unique_Parameters,Total_Parameters,Effective_Depth,Shared_Ratio,Loop_Index,Projection,Stream_Index,Block_Frobenius_Norm,Block_Deviation_From_Init,Matrix_Spectral_Norm,Timestamp
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,0,depth_proj,0,4.770916938781738,2.571272134780884,0.874901533126831,2026-07-27T10:41:51.973168Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,0,depth_proj,1,4.758729934692383,2.5643136501312256,0.874901533126831,2026-07-27T10:41:51.973672Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,0,depth_proj,2,4.767370223999023,2.5733656883239746,0.874901533126831,2026-07-27T10:41:51.974108Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,0,depth_proj,3,4.7599968910217285,2.5752902030944824,0.874901533126831,2026-07-27T10:41:51.974537Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,0,width_proj,0,8.390028953552246,2.564455986022949,1.3338149785995483,2026-07-27T10:41:51.998678Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,0,width_proj,1,8.39228630065918,2.5708467960357666,1.3338149785995483,2026-07-27T10:41:51.999104Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,0,width_proj,2,8.420939445495605,2.568425178527832,1.3338149785995483,2026-07-27T10:41:51.999497Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,0,width_proj,3,8.407093048095703,2.578120231628418,1.3338149785995483,2026-07-27T10:41:51.999861Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,1,depth_proj,0,4.7575249671936035,2.5693984031677246,0.8759487271308899,2026-07-27T10:41:52.024239Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,1,depth_proj,1,4.753396511077881,2.5747718811035156,0.8759487271308899,2026-07-27T10:41:52.024712Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,1,depth_proj,2,4.764178276062012,2.5817301273345947,0.8759487271308899,2026-07-27T10:41:52.025142Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,1,depth_proj,3,4.747189044952393,2.569453001022339,0.8759487271308899,2026-07-27T10:41:52.025560Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,1,width_proj,0,8.397048950195312,2.574335813522339,1.3499459028244019,2026-07-27T10:41:52.049312Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,1,width_proj,1,8.415375709533691,2.582552194595337,1.3499459028244019,2026-07-27T10:41:52.049726Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,1,width_proj,2,8.401708602905273,2.576148748397827,1.3499459028244019,2026-07-27T10:41:52.050110Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,1,width_proj,3,8.400555610656738,2.5808706283569336,1.3499459028244019,2026-07-27T10:41:52.050507Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,2,depth_proj,0,4.771184921264648,2.575507164001465,0.86496502161026,2026-07-27T10:41:52.074634Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,2,depth_proj,1,4.749238967895508,2.5761141777038574,0.86496502161026,2026-07-27T10:41:52.075078Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,2,depth_proj,2,4.748373508453369,2.5790600776672363,0.86496502161026,2026-07-27T10:41:52.075499Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,2,depth_proj,3,4.75835657119751,2.582124710083008,0.86496502161026,2026-07-27T10:41:52.075932Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,2,width_proj,0,8.402252197265625,2.5639941692352295,1.3662497997283936,2026-07-27T10:41:52.099865Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,2,width_proj,1,8.3909273147583,2.566371440887451,1.3662497997283936,2026-07-27T10:41:52.100284Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,2,width_proj,2,8.38202953338623,2.575746536254883,1.3662497997283936,2026-07-27T10:41:52.100678Z
