2026-07-27T10:40:18 | master_dry_run | INFO | === STARTING MASTER DRY RUN ===
2026-07-27T10:40:18 | master_dry_run | INFO | --- STAGE 1 ---
2026-07-27T10:40:18 | dry_run_stage1 | INFO | Monkeypatching Stage 1 config for dry run...
2026-07-27T10:40:18 | dry_run_stage1 | INFO | Starting Stage 1 Dry Run Training...
2026-07-27T10:40:25 | train_stage1 | INFO | Data integrity check PASSED (tokenizer MD5 + corpus row counts match manifest).
2026-07-27T10:40:25 | train_stage1 | INFO | Loading validation set (fixed masking)...
2026-07-27T10:40:25 | train_stage1 | INFO | Fixed masked validation set: 50 sequences, 922 masked target tokens (mask seed 1234).
2026-07-27T10:40:27 | train_stage1 | INFO | Using device: cuda
2026-07-27T10:40:27 | train_stage1 | INFO | --- Starting training for VanillaBERT_tiny_seed42 ---
2026-07-27T10:40:27 | train_stage1 | INFO | Model specs: {'Unique_Parameters': 17585466, 'Total_Parameters': 17585466, 'Effective_Depth': 12, 'Hidden_Size': 256, 'Shared_Ratio': 0.0}
2026-07-27T10:40:28 | train_stage1 | INFO | Active attention path: flash
2026-07-27T10:40:30 | train_stage1 | INFO | Step 5 | Tokens 0.0M | Val Loss: 9.7786 | PP: 17651.16
2026-07-27T10:40:30 | train_stage1 | INFO | Iso-loss band 10.0 crossed! (Prev: inf, Curr: 9.7786)
2026-07-27T10:40:30 | train_stage1 | INFO | Interpolated crossing step: 5
2026-07-27T10:40:30 | train_stage1 | INFO | Saving snapshot to: /home/Debz/HyperloopBert/Codes/models/dry_run/stage1/iso_band_models/VanillaBERT_tiny_seed42/band_10p00
2026-07-27T10:40:31 | train_stage1 | INFO | Checkpoint written at optimizer step 5.
2026-07-27T10:40:31 | train_stage1 | INFO | Finished VanillaBERT_tiny_seed42: 0.1M tokens, bands crossed: [10.0]
2026-07-27T10:40:31 | train_stage1 | INFO | --- Starting training for LoopedBERT_tiny_seed42 ---
2026-07-27T10:40:31 | train_stage1 | INFO | Model specs: {'Unique_Parameters': 12847930, 'Total_Parameters': 12847930, 'Effective_Depth': 12, 'Hidden_Size': 256, 'Shared_Ratio': 0.5}
2026-07-27T10:40:31 | train_stage1 | INFO | Active attention path: flash
2026-07-27T10:40:33 | train_stage1 | INFO | Step 5 | Tokens 0.0M | Val Loss: 9.8151 | PP: 18307.56
2026-07-27T10:40:33 | train_stage1 | INFO | Iso-loss band 10.0 crossed! (Prev: inf, Curr: 9.8151)
2026-07-27T10:40:33 | train_stage1 | INFO | Interpolated crossing step: 5
2026-07-27T10:40:33 | train_stage1 | INFO | Saving snapshot to: /home/Debz/HyperloopBert/Codes/models/dry_run/stage1/iso_band_models/LoopedBERT_tiny_seed42/band_10p00
2026-07-27T10:40:33 | train_stage1 | INFO | Checkpoint written at optimizer step 5.
2026-07-27T10:40:34 | train_stage1 | INFO | Finished LoopedBERT_tiny_seed42: 0.1M tokens, bands crossed: [10.0]
2026-07-27T10:40:34 | dry_run_stage1 | INFO | Starting Stage 1 Dry Run Eval Bias...
2026-07-27T10:40:34 | eval_bias_stage1 | INFO | Skipping /home/Debz/HyperloopBert/Codes/models/dry_run/stage1/iso_band_models/LoopedBERT_tiny_seed42/band_10p00 - failed quality screen (PP=18307.56363520787)
