Stage,Architecture,Model_Size,Hidden_Size,Seed,Unique_Parameters,Total_Parameters,Effective_Depth,Shared_Ratio,Band,Token_Marker,Validation_Loss,Stream_Count,Merge_At,Overall_Stereotype_Preference_Rate,Macro_Average_Preference_Rate,Mean_Effect_Size,Bootstrap_CI_Low,Bootstrap_CI_High,PLL_SS_PLL_Agreement,Scored_Row_Count,Failed_Row_Count,Tied_Pair_Count,Timestamp
stage3,VanillaBERT,base,768,42,110104890,110104890,12,0.0,5.0,,2.9965542893553856,,,0.5470822281167109,0.5649120346037462,0.039231773061699345,0.015667108787024667,0.06314711342103904,0.692,1508,0,0,2026-07-29T00:54:17.161170Z
stage3,VanillaBERT,base,768,42,110104890,110104890,12,0.0,4.0,,2.9965542893553856,,,0.5470822281167109,0.5649120346037462,0.039231773061699345,0.015667108787024667,0.06314711342103904,0.692,1508,0,0,2026-07-29T00:57:48.064773Z
stage3,VanillaBERT,base,768,42,110104890,110104890,12,0.0,3.4,,2.9965542893553856,,,0.5470822281167109,0.5649120346037462,0.039231773061699345,0.015667108787024667,0.06314711342103904,0.692,1508,0,0,2026-07-29T01:01:26.314795Z
stage3,VanillaBERT,base,768,42,110104890,110104890,12,0.0,3.0,,2.9965542893553856,,,0.5470822281167109,0.5649120346037462,0.039231773061699345,0.015667108787024667,0.06314711342103904,0.692,1508,0,0,2026-07-29T01:04:37.952815Z
stage3,VanillaBERT,base,768,42,110104890,110104890,12,0.0,2.7,,2.5866862060364992,,,0.5610079575596817,0.5870488572678221,0.056127521933374766,0.032037623686768386,0.08099753787910906,0.694,1508,0,0,2026-07-29T01:05:52.931169Z
stage3,VanillaBERT,base,768,42,110104890,110104890,12,0.0,2.4,,2.352965392027068,,,0.5384615384615384,0.573823507181654,0.04972791352124427,0.024415688025445602,0.07678067109126266,0.6886666666666666,1508,0,0,2026-07-29T01:07:05.900683Z
stage3,VanillaBERT,base,768,42,110104890,110104890,12,0.0,2.2,,2.183083686812373,,,0.5576923076923077,0.5925715920966397,0.07072037194996995,0.04571779565207425,0.09733430751215803,0.706,1508,0,0,2026-07-29T01:08:19.327007Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,5.0,,3.1406568550769194,,,0.5570291777188329,0.5835105239013733,0.04867869790378815,0.025369172809311984,0.07151473296067992,0.6853333333333333,1508,0,0,2026-07-29T01:09:33.542213Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,4.0,,3.1406568550769194,,,0.5570291777188329,0.5835105239013733,0.04867869790378815,0.025369172809311984,0.07151473296067992,0.6853333333333333,1508,0,0,2026-07-29T01:10:48.375165Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,3.4,,3.1406568550769194,,,0.5570291777188329,0.5835105239013733,0.04867869790378815,0.025369172809311984,0.07151473296067992,0.6853333333333333,1508,0,0,2026-07-29T01:12:02.580886Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,3.0,,2.967567900507031,,,0.5974801061007957,0.610592911590526,0.06145086292373349,0.037916004359198674,0.08514156544324628,0.67,1508,0,0,2026-07-29T01:13:17.752425Z
