Stage,Architecture,Model_Size,Hidden_Size,Seed,Unique_Parameters,Total_Parameters,Effective_Depth,Shared_Ratio,Band,Token_Marker,Stream_Count,Pro_Stereotype_Accuracy,Anti_Stereotype_Accuracy,Pro_Anti_Gap,Timestamp
stage3,VanillaBERT,base,768,42,110104890,110104890,12,0.0,5.0,,,0.5026737967914439,0.5,0.002673796791443861,2026-07-29T00:54:37.801768Z
stage3,VanillaBERT,base,768,42,110104890,110104890,12,0.0,4.0,,,0.5026737967914439,0.5,0.002673796791443861,2026-07-29T00:58:07.456378Z
stage3,VanillaBERT,base,768,42,110104890,110104890,12,0.0,3.4,,,0.5026737967914439,0.5,0.002673796791443861,2026-07-29T01:01:44.671122Z
stage3,VanillaBERT,base,768,42,110104890,110104890,12,0.0,3.0,,,0.5026737967914439,0.5,0.002673796791443861,2026-07-29T01:04:44.098330Z
stage3,VanillaBERT,base,768,42,110104890,110104890,12,0.0,2.7,,,0.49732620320855614,0.5053475935828877,-0.008021390374331583,2026-07-29T01:05:59.033914Z
stage3,VanillaBERT,base,768,42,110104890,110104890,12,0.0,2.4,,,0.5026737967914439,0.49732620320855614,0.005347593582887722,2026-07-29T01:07:11.970716Z
stage3,VanillaBERT,base,768,42,110104890,110104890,12,0.0,2.2,,,0.4893048128342246,0.5133689839572193,-0.024064171122994693,2026-07-29T01:08:25.443407Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,5.0,,,0.5,0.49732620320855614,0.002673796791443861,2026-07-29T01:09:40.114563Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,4.0,,,0.5,0.49732620320855614,0.002673796791443861,2026-07-29T01:10:54.870008Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,3.4,,,0.5,0.49732620320855614,0.002673796791443861,2026-07-29T01:12:09.227946Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,3.0,,,0.4946524064171123,0.5053475935828877,-0.010695187165775444,2026-07-29T01:13:24.295044Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,2.7,,,0.4919786096256685,0.5080213903743316,-0.01604278074866311,2026-07-29T01:14:38.023036Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,2.4,,,0.4946524064171123,0.5080213903743316,-0.013368983957219305,2026-07-29T01:15:51.986993Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,2.2,,,0.4946524064171123,0.5080213903743316,-0.013368983957219305,2026-07-29T01:17:05.628104Z
stage3,ALBERTLoopedBERT,base,768,42,32147514,32147514,12,0.9166666666666666,5.0,,,0.48663101604278075,0.5133689839572193,-0.026737967914438554,2026-07-29T01:18:25.250706Z
stage3,ALBERTLoopedBERT,base,768,42,32147514,32147514,12,0.9166666666666666,4.0,,,0.48663101604278075,0.5133689839572193,-0.026737967914438554,2026-07-29T01:19:45.710029Z
stage3,ALBERTLoopedBERT,base,768,42,32147514,32147514,12,0.9166666666666666,3.4,,,0.5,0.5,0.0,2026-07-29T01:21:05.728278Z
stage3,ALBERTLoopedBERT,base,768,42,32147514,32147514,12,0.9166666666666666,3.0,,,0.5,0.5,0.0,2026-07-29T01:22:24.344983Z
stage3,ALBERTLoopedBERT,base,768,42,32147514,32147514,12,0.9166666666666666,2.7,,,0.5080213903743316,0.49732620320855614,0.010695187165775444,2026-07-29T01:23:43.592199Z
stage3,ALBERTLoopedBERT,base,768,42,32147514,32147514,12,0.9166666666666666,2.4,,,0.4919786096256685,0.5080213903743316,-0.01604278074866311,2026-07-29T01:25:02.473611Z
stage3,ALBERTLoopedBERT,base,768,42,32147514,32147514,12,0.9166666666666666,2.2,,,0.49732620320855614,0.5053475935828877,-0.008021390374331583,2026-07-29T01:26:21.381833Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,5.0,,4,0.4919786096256685,0.5080213903743316,-0.01604278074866311,2026-07-29T01:27:47.471521Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,4.0,,4,0.4919786096256685,0.5106951871657754,-0.01871657754010697,2026-07-29T01:29:14.140329Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,3.4,,4,0.5,0.5026737967914439,-0.002673796791443861,2026-07-29T01:30:40.119375Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,3.0,,4,0.4839572192513369,0.5187165775401069,-0.034759358288770026,2026-07-29T01:32:10.332747Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,2.7,,4,0.4893048128342246,0.5106951871657754,-0.021390374331550832,2026-07-29T01:33:36.819964Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,2.4,,4,0.49732620320855614,0.5026737967914439,-0.005347593582887722,2026-07-29T01:35:04.486167Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,2.2,,4,0.5026737967914439,0.5,0.002673796791443861,2026-07-29T01:36:33.472770Z
