Stage,Architecture,Model_Size,Hidden_Size,Seed,Unique_Parameters,Total_Parameters,Effective_Depth,Shared_Ratio,Band,Snapshot_Path,Validation_Loss_At_Snapshot,Crossed_At_Step,Timestamp
stage3,VanillaBERT,base,768,42,110104890,110104890,12,0.0,5.0,/root/HyperloopBert/Codes/models/stage3/iso_band_models/VanillaBERT_base_seed42/band_5p00,2.9965542893553856,24000,2026-07-27T20:07:31.937492Z
stage3,VanillaBERT,base,768,42,110104890,110104890,12,0.0,4.0,/root/HyperloopBert/Codes/models/stage3/iso_band_models/VanillaBERT_base_seed42/band_4p00,2.9965542893553856,24000,2026-07-27T20:07:31.941793Z
stage3,VanillaBERT,base,768,42,110104890,110104890,12,0.0,3.4,/root/HyperloopBert/Codes/models/stage3/iso_band_models/VanillaBERT_base_seed42/band_3p40,2.9965542893553856,24000,2026-07-27T20:07:31.945485Z
stage3,VanillaBERT,base,768,42,110104890,110104890,12,0.0,3.0,/root/HyperloopBert/Codes/models/stage3/iso_band_models/VanillaBERT_base_seed42/band_3p00,2.9965542893553856,24000,2026-07-27T20:07:31.949046Z
stage3,VanillaBERT,base,768,42,110104890,110104890,12,0.0,2.7,/root/HyperloopBert/Codes/models/stage3/iso_band_models/VanillaBERT_base_seed42/band_2p70,2.5866862060364992,26000,2026-07-27T20:14:32.713486Z
stage3,VanillaBERT,base,768,42,110104890,110104890,12,0.0,2.4,/root/HyperloopBert/Codes/models/stage3/iso_band_models/VanillaBERT_base_seed42/band_2p40,2.352965392027068,29000,2026-07-27T20:25:06.014545Z
stage3,VanillaBERT,base,768,42,110104890,110104890,12,0.0,2.2,/root/HyperloopBert/Codes/models/stage3/iso_band_models/VanillaBERT_base_seed42/band_2p20,2.1830836868123735,32500,2026-07-27T20:37:28.848940Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,5.0,/root/HyperloopBert/Codes/models/stage3/iso_band_models/LoopedBERT_base_seed42/band_5p00,3.1406568550769194,24000,2026-07-28T02:39:02.142188Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,4.0,/root/HyperloopBert/Codes/models/stage3/iso_band_models/LoopedBERT_base_seed42/band_4p00,3.1406568550769194,24000,2026-07-28T02:39:02.146014Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,3.4,/root/HyperloopBert/Codes/models/stage3/iso_band_models/LoopedBERT_base_seed42/band_3p40,3.1406568550769194,24000,2026-07-28T02:39:02.149609Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,3.0,/root/HyperloopBert/Codes/models/stage3/iso_band_models/LoopedBERT_base_seed42/band_3p00,2.967567900507031,24500,2026-07-28T02:40:48.680755Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,2.7,/root/HyperloopBert/Codes/models/stage3/iso_band_models/LoopedBERT_base_seed42/band_2p70,2.6882121797823917,26000,2026-07-28T02:46:01.247770Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,2.4,/root/HyperloopBert/Codes/models/stage3/iso_band_models/LoopedBERT_base_seed42/band_2p40,2.3959020573212877,29000,2026-07-28T02:56:29.588677Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,2.2,/root/HyperloopBert/Codes/models/stage3/iso_band_models/LoopedBERT_base_seed42/band_2p20,2.191694966556164,33000,2026-07-28T03:10:31.193330Z
stage3,ALBERTLoopedBERT,base,768,42,32147514,32147514,12,0.9166666666666666,5.0,/root/HyperloopBert/Codes/models/stage3/iso_band_models/ALBERTLoopedBERT_base_seed42/band_5p00,3.6273829460550036,12000,2026-07-28T08:26:15.164091Z
stage3,ALBERTLoopedBERT,base,768,42,32147514,32147514,12,0.9166666666666666,4.0,/root/HyperloopBert/Codes/models/stage3/iso_band_models/ALBERTLoopedBERT_base_seed42/band_4p00,3.6273829460550036,12000,2026-07-28T08:26:15.167828Z
stage3,ALBERTLoopedBERT,base,768,42,32147514,32147514,12,0.9166666666666666,3.4,/root/HyperloopBert/Codes/models/stage3/iso_band_models/ALBERTLoopedBERT_base_seed42/band_3p40,2.9226088233580736,14000,2026-07-28T08:33:12.983146Z
stage3,ALBERTLoopedBERT,base,768,42,32147514,32147514,12,0.9166666666666666,3.0,/root/HyperloopBert/Codes/models/stage3/iso_band_models/ALBERTLoopedBERT_base_seed42/band_3p00,2.9226088233580736,14000,2026-07-28T08:33:12.986884Z
stage3,ALBERTLoopedBERT,base,768,42,32147514,32147514,12,0.9166666666666666,2.7,/root/HyperloopBert/Codes/models/stage3/iso_band_models/ALBERTLoopedBERT_base_seed42/band_2p70,2.647432264423005,16000,2026-07-28T08:40:10.153394Z
stage3,ALBERTLoopedBERT,base,768,42,32147514,32147514,12,0.9166666666666666,2.4,/root/HyperloopBert/Codes/models/stage3/iso_band_models/ALBERTLoopedBERT_base_seed42/band_2p40,2.387730633121391,20500,2026-07-28T08:55:53.292191Z
stage3,ALBERTLoopedBERT,base,768,42,32147514,32147514,12,0.9166666666666666,2.2,/root/HyperloopBert/Codes/models/stage3/iso_band_models/ALBERTLoopedBERT_base_seed42/band_2p20,2.1626932162840653,30000,2026-07-28T09:28:58.335694Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,5.0,/root/HyperloopBert/Codes/models/stage3/iso_band_models/HyperloopBERT_base_seed42_streams4/band_5p00,3.654132278202036,8000,2026-07-28T14:45:01.224543Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,4.0,/root/HyperloopBert/Codes/models/stage3/iso_band_models/HyperloopBERT_base_seed42_streams4/band_4p00,3.654132278202036,8000,2026-07-28T14:45:01.228307Z
