Stage,Architecture,Model_Size,Hidden_Size,Seed,Unique_Parameters,Total_Parameters,Effective_Depth,Shared_Ratio,Category,Demographic_Term,Context_Type,Loop_Depth,Cosine_Drift,Timestamp
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,she,stereotypical,4,0.2095029354095459,2026-07-29T01:48:06.124080Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,she,stereotypical,6,0.07464015483856201,2026-07-29T01:48:06.124413Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,she,stereotypical,8,0.040086328983306885,2026-07-29T01:48:06.124718Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,she,stereotypical,10,0.04948022961616516,2026-07-29T01:48:06.125030Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,she,stereotypical,12,0.3047495484352112,2026-07-29T01:48:06.125337Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,he,stereotypical,4,0.1902675720361563,2026-07-29T01:48:06.125658Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,he,stereotypical,6,0.05756196838158827,2026-07-29T01:48:06.125972Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,he,stereotypical,8,0.04398323710148151,2026-07-29T01:48:06.126273Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,he,stereotypical,10,0.0546611318221459,2026-07-29T01:48:06.126575Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,he,stereotypical,12,0.39160576921242934,2026-07-29T01:48:06.126876Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,his,stereotypical,4,0.17951856553554535,2026-07-29T01:48:06.127177Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,his,stereotypical,6,0.054799243807792664,2026-07-29T01:48:06.127479Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,his,stereotypical,8,0.041857197880744934,2026-07-29T01:48:06.127766Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,his,stereotypical,10,0.056557729840278625,2026-07-29T01:48:06.128096Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,his,stereotypical,12,0.364297840744257,2026-07-29T01:48:06.128393Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,her,stereotypical,4,0.19946272174517313,2026-07-29T01:48:06.128686Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,her,stereotypical,6,0.06096845865249634,2026-07-29T01:48:06.128993Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,her,stereotypical,8,0.04537756244341532,2026-07-29T01:48:06.129284Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,her,stereotypical,10,0.05025319258371989,2026-07-29T01:48:06.129575Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,her,stereotypical,12,0.3004344403743744,2026-07-29T01:48:06.129871Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,man,stereotypical,4,0.19631540775299072,2026-07-29T01:48:06.130159Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,man,stereotypical,6,0.056087398529052736,2026-07-29T01:48:06.130474Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,man,stereotypical,8,0.034104001522064206,2026-07-29T01:48:06.130771Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,man,stereotypical,10,0.07554471492767334,2026-07-29T01:48:06.131069Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,man,stereotypical,12,0.291763436794281,2026-07-29T01:48:06.131356Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,woman,stereotypical,4,0.215481698513031,2026-07-29T01:48:06.131639Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,woman,stereotypical,6,0.0553569495677948,2026-07-29T01:48:06.131943Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,woman,stereotypical,8,0.031190305948257446,2026-07-29T01:48:06.132240Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,woman,stereotypical,10,0.1070851981639862,2026-07-29T01:48:06.132531Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,woman,stereotypical,12,0.2748602032661438,2026-07-29T01:48:06.132850Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,she,anti-stereotypical,4,0.21598272770643234,2026-07-29T01:48:06.579593Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,she,anti-stereotypical,6,0.064934641122818,2026-07-29T01:48:06.579933Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,she,anti-stereotypical,8,0.04397450387477875,2026-07-29T01:48:06.580222Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,she,anti-stereotypical,10,0.05830114334821701,2026-07-29T01:48:06.580509Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,she,anti-stereotypical,12,0.30267859250307083,2026-07-29T01:48:06.580805Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,he,anti-stereotypical,4,0.19189581274986267,2026-07-29T01:48:06.581084Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,he,anti-stereotypical,6,0.056905558705329894,2026-07-29T01:48:06.581394Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,he,anti-stereotypical,8,0.04431271851062775,2026-07-29T01:48:06.581677Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,he,anti-stereotypical,10,0.05482284724712372,2026-07-29T01:48:06.581971Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,he,anti-stereotypical,12,0.3964235186576843,2026-07-29T01:48:06.582258Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,his,anti-stereotypical,4,0.1822601854801178,2026-07-29T01:48:06.582546Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,his,anti-stereotypical,6,0.054733484983444214,2026-07-29T01:48:06.582844Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,his,anti-stereotypical,8,0.04288269579410553,2026-07-29T01:48:06.583129Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,his,anti-stereotypical,10,0.060574730237325035,2026-07-29T01:48:06.583416Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,his,anti-stereotypical,12,0.3588976413011551,2026-07-29T01:48:06.583730Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,her,anti-stereotypical,4,0.19333235621452333,2026-07-29T01:48:06.584038Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,her,anti-stereotypical,6,0.060905051231384275,2026-07-29T01:48:06.584331Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,her,anti-stereotypical,8,0.040145504474639895,2026-07-29T01:48:06.584616Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,her,anti-stereotypical,10,0.050353020429611206,2026-07-29T01:48:06.584910Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,her,anti-stereotypical,12,0.3034256100654602,2026-07-29T01:48:06.585206Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,man,anti-stereotypical,4,0.2071677247683207,2026-07-29T01:48:06.585492Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,man,anti-stereotypical,6,0.0593453844388326,2026-07-29T01:48:06.585773Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,man,anti-stereotypical,8,0.03459190328915914,2026-07-29T01:48:06.586067Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,man,anti-stereotypical,10,0.07487801710764568,2026-07-29T01:48:06.586380Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,man,anti-stereotypical,12,0.28565648198127747,2026-07-29T01:48:06.586680Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,woman,anti-stereotypical,4,0.17041850090026855,2026-07-29T01:48:06.586972Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,woman,anti-stereotypical,6,0.05847752094268799,2026-07-29T01:48:06.587251Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,woman,anti-stereotypical,8,0.031652867794036865,2026-07-29T01:48:06.587523Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,woman,anti-stereotypical,10,0.0941932201385498,2026-07-29T01:48:06.587800Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,gender,woman,anti-stereotypical,12,0.28914302587509155,2026-07-29T01:48:06.588070Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,race,black,stereotypical,4,0.22051512201627096,2026-07-29T01:48:06.740670Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,race,black,stereotypical,6,0.04380704462528229,2026-07-29T01:48:06.741006Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,race,black,stereotypical,8,0.035676176349322,2026-07-29T01:48:06.741298Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,race,black,stereotypical,10,0.09952321151892345,2026-07-29T01:48:06.741584Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,race,black,stereotypical,12,0.3008497009674708,2026-07-29T01:48:06.741874Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,race,european,stereotypical,4,0.17126327753067017,2026-07-29T01:48:06.742179Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,race,european,stereotypical,6,0.04391759634017944,2026-07-29T01:48:06.742480Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,race,european,stereotypical,8,0.030741214752197266,2026-07-29T01:48:06.742756Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,race,european,stereotypical,10,0.10493946075439453,2026-07-29T01:48:06.743034Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,race,european,stereotypical,12,0.277518630027771,2026-07-29T01:48:06.743303Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,race,african,stereotypical,4,0.21249190966288248,2026-07-29T01:48:06.743580Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,race,african,stereotypical,6,0.05566235383351644,2026-07-29T01:48:06.743867Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,race,african,stereotypical,8,0.03220242261886597,2026-07-29T01:48:06.744139Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,race,african,stereotypical,10,0.10979137818018596,2026-07-29T01:48:06.744404Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,race,african,stereotypical,12,0.35259952147801715,2026-07-29T01:48:06.744707Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,race,white,anti-stereotypical,4,0.21984505653381348,2026-07-29T01:48:06.911942Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,race,white,anti-stereotypical,6,0.04679347202181816,2026-07-29T01:48:06.912259Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,race,white,anti-stereotypical,8,0.03550930693745613,2026-07-29T01:48:06.912552Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,race,white,anti-stereotypical,10,0.10154128447175026,2026-07-29T01:48:06.912872Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,race,white,anti-stereotypical,12,0.26862550526857376,2026-07-29T01:48:06.913150Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,race,african,anti-stereotypical,4,0.22339802980422974,2026-07-29T01:48:06.913425Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,race,african,anti-stereotypical,6,0.06538122892379761,2026-07-29T01:48:06.913706Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,race,african,anti-stereotypical,8,0.0305328369140625,2026-07-29T01:48:06.914000Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,race,african,anti-stereotypical,10,0.11767184734344482,2026-07-29T01:48:06.914292Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,race,african,anti-stereotypical,12,0.375469446182251,2026-07-29T01:48:06.914584Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,religion,jewish,stereotypical,4,0.18660682439804077,2026-07-29T01:48:06.936695Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,religion,jewish,stereotypical,6,0.046973466873168945,2026-07-29T01:48:06.937019Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,religion,jewish,stereotypical,8,0.036660075187683105,2026-07-29T01:48:06.937299Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,religion,jewish,stereotypical,10,0.13190746307373047,2026-07-29T01:48:06.937573Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,religion,jewish,stereotypical,12,0.37111592292785645,2026-07-29T01:48:06.937849Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,religion,christian,stereotypical,4,0.1920446753501892,2026-07-29T01:48:06.938154Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,religion,christian,stereotypical,6,0.051099181175231934,2026-07-29T01:48:06.938440Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,religion,christian,stereotypical,8,0.02191329002380371,2026-07-29T01:48:06.938714Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,religion,christian,stereotypical,10,0.13455605506896973,2026-07-29T01:48:06.938999Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,religion,christian,stereotypical,12,0.32673585414886475,2026-07-29T01:48:06.939275Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,religion,christian,anti-stereotypical,4,0.19853365421295166,2026-07-29T01:48:06.960916Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,religion,christian,anti-stereotypical,6,0.05133765935897827,2026-07-29T01:48:06.961220Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,religion,christian,anti-stereotypical,8,0.04238903522491455,2026-07-29T01:48:06.961507Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,religion,christian,anti-stereotypical,10,0.1352921724319458,2026-07-29T01:48:06.961771Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,religion,christian,anti-stereotypical,12,0.3481258749961853,2026-07-29T01:48:06.962042Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,religion,jewish,anti-stereotypical,4,0.20864379405975342,2026-07-29T01:48:06.962303Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,religion,jewish,anti-stereotypical,6,0.05173444747924805,2026-07-29T01:48:06.962569Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,religion,jewish,anti-stereotypical,8,0.028578996658325195,2026-07-29T01:48:06.962844Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,religion,jewish,anti-stereotypical,10,0.126642107963562,2026-07-29T01:48:06.963145Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,religion,jewish,anti-stereotypical,12,0.3779422640800476,2026-07-29T01:48:06.963422Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,age,young,anti-stereotypical,4,0.19546151161193848,2026-07-29T01:48:06.979831Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,age,young,anti-stereotypical,6,0.038487792015075684,2026-07-29T01:48:06.980123Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,age,young,anti-stereotypical,8,0.04427683353424072,2026-07-29T01:48:06.980423Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,age,young,anti-stereotypical,10,0.11404508352279663,2026-07-29T01:48:06.980697Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,age,young,anti-stereotypical,12,0.29242098331451416,2026-07-29T01:48:06.980969Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,nationality,american,stereotypical,4,0.18817269802093506,2026-07-29T01:48:07.013439Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,nationality,american,stereotypical,6,0.05321887135505676,2026-07-29T01:48:07.013731Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,nationality,american,stereotypical,8,0.03367087244987488,2026-07-29T01:48:07.014003Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,nationality,american,stereotypical,10,0.08088582754135132,2026-07-29T01:48:07.014262Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,nationality,american,stereotypical,12,0.29133141040802,2026-07-29T01:48:07.014535Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,nationality,mexican,stereotypical,4,0.2864847183227539,2026-07-29T01:48:07.014811Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,nationality,mexican,stereotypical,6,0.03472006320953369,2026-07-29T01:48:07.015085Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,nationality,mexican,stereotypical,8,0.025510311126708984,2026-07-29T01:48:07.015356Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,nationality,mexican,stereotypical,10,0.094107985496521,2026-07-29T01:48:07.015650Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,nationality,mexican,stereotypical,12,0.2760683298110962,2026-07-29T01:48:07.015935Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,nationality,american,anti-stereotypical,4,0.20205522775650026,2026-07-29T01:48:07.075372Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,nationality,american,anti-stereotypical,6,0.05759574174880981,2026-07-29T01:48:07.075670Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,nationality,american,anti-stereotypical,8,0.037244987487792966,2026-07-29T01:48:07.075952Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,nationality,american,anti-stereotypical,10,0.08978502750396729,2026-07-29T01:48:07.076216Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,nationality,american,anti-stereotypical,12,0.28676246404647826,2026-07-29T01:48:07.076514Z
