Stage,Architecture,Model_Size,Hidden_Size,Seed,Unique_Parameters,Total_Parameters,Effective_Depth,Shared_Ratio,Loop_Pair,CKA,Timestamp
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,2-4,0.5776312394308579,2026-07-29T01:48:04.890882Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,2-6,0.530228693577338,2026-07-29T01:48:04.918301Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,2-8,0.4205480503082468,2026-07-29T01:48:04.992987Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,2-10,0.3314276342617567,2026-07-29T01:48:05.020560Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,2-12,0.25227596380285516,2026-07-29T01:48:05.053618Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,4-6,0.8587842796572402,2026-07-29T01:48:05.113121Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,4-8,0.7502528024216496,2026-07-29T01:48:05.145756Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,4-10,0.5431585884894863,2026-07-29T01:48:05.199196Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,4-12,0.5619749375922304,2026-07-29T01:48:05.227322Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,6-8,0.8928196822472116,2026-07-29T01:48:05.260880Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,6-10,0.6729193798128386,2026-07-29T01:48:05.303804Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,6-12,0.5001538303644708,2026-07-29T01:48:05.332916Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,8-10,0.7649847523518537,2026-07-29T01:48:05.365971Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,8-12,0.4828166878681649,2026-07-29T01:48:05.414442Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,10-12,0.41959437681801603,2026-07-29T01:48:05.445153Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,2-4,0.5365757521277507,2026-07-29T02:07:35.165553Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,2-6,0.5508157664985945,2026-07-29T02:07:35.196136Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,2-8,0.5448459583267917,2026-07-29T02:07:35.222887Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,2-10,0.4956095974247278,2026-07-29T02:07:35.286383Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,2-12,0.6535321827290327,2026-07-29T02:07:35.316091Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,4-6,0.8303490719620897,2026-07-29T02:07:35.343750Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,4-8,0.7288617693062533,2026-07-29T02:07:35.407134Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,4-10,0.526115532353287,2026-07-29T02:07:35.435643Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,4-12,0.6267102220584969,2026-07-29T02:07:35.498390Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,6-8,0.8466514460311488,2026-07-29T02:07:35.525389Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,6-10,0.5927447624720977,2026-07-29T02:07:35.592258Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,6-12,0.6702941976315268,2026-07-29T02:07:35.624034Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,8-10,0.7077965326027915,2026-07-29T02:07:35.685847Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,8-12,0.6690304932558877,2026-07-29T02:07:35.713532Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,10-12,0.6552644468292079,2026-07-29T02:07:35.747053Z
