Band,Contrast,Delta,CI_Low,CI_High,P_Raw,Loss_Vanilla,Loss_Other,Loss_Gap,Band_Spread
5.0,Vanilla vs Looped,-0.009446924842088802,-0.019852568457371447,0.0009012974827315083,0.0786921307869213,2.9965542893553856,3.1406568550769194,-0.1441025657215338,1.0404491289771327
5.0,Vanilla vs ALBERT,0.0224098978465507,0.007447070029443014,0.03722421134684506,0.0022997700229977,2.9965542893553856,3.627382946055004,-0.6308286566996184,1.0404491289771327
5.0,Vanilla vs Hyperloop,0.02687850235112846,0.010240527231322351,0.04351166760772573,0.0011998800119988001,2.9965542893553856,4.037003418332518,-1.0404491289771327,1.0404491289771327
4.0,Vanilla vs Looped,-0.009446924842088802,-0.019659713444755006,0.0009516305444547034,0.0734926507349265,2.9965542893553856,3.1406568550769194,-0.1441025657215338,0.7039803119657799
4.0,Vanilla vs ALBERT,0.0224098978465507,0.007607647279803536,0.03730300468325597,0.0036996300369963003,2.9965542893553856,3.627382946055004,-0.6308286566996184,0.7039803119657799
4.0,Vanilla vs Hyperloop,0.011066918748505843,-0.003351402865529145,0.02531689896343975,0.13408659134086592,2.9965542893553856,3.7005346013211655,-0.7039803119657799,0.7039803119657799
3.4,Vanilla vs Looped,-0.009446924842088802,-0.019644872334343047,0.0008077365610335923,0.0770922907709229,2.9965542893553856,3.1406568550769194,-0.1441025657215338,0.2180480317188458
3.4,Vanilla vs ALBERT,-0.006028836800911904,-0.018951880809318197,0.007150349752051631,0.35436456354364565,2.9965542893553856,2.9226088233580736,0.073945465997312,0.2180480317188458
3.4,Vanilla vs Hyperloop,-0.003477387383591513,-0.01624865554875672,0.009382173791587152,0.5938406159384062,2.9965542893553856,3.1084518075344563,-0.11189751817907068,0.2180480317188458
3.0,Vanilla vs Looped,-0.02221908986203414,-0.033141148764729435,-0.01116057782410691,0.00019998000199980003,2.9965542893553856,2.967567900507031,0.028986388848354583,0.073945465997312
3.0,Vanilla vs ALBERT,-0.006028836800911904,-0.01888930590433222,0.006777439453179119,0.3574642535746425,2.9965542893553856,2.9226088233580736,0.073945465997312,0.073945465997312
3.0,Vanilla vs Hyperloop,-0.0077610067555867425,-0.020862079183848886,0.005181125086254631,0.24277572242775722,2.9965542893553856,2.9707007868130595,0.0258535025423261,0.073945465997312
2.7,Vanilla vs Looped,-0.0092490574576636,-0.019038759309192903,0.0006137601013074308,0.06829317068293171,2.5866862060364992,2.688212179782392,-0.1015259737458929,0.1015259737458929
2.7,Vanilla vs ALBERT,0.0073878734708778685,-0.006320630732855278,0.02089492989822715,0.2850714928507149,2.5866862060364992,2.647432264423005,-0.06074605838650582,0.1015259737458929
2.7,Vanilla vs Hyperloop,0.007326547754267628,-0.004872838985064836,0.02007485441924156,0.24297570242975702,2.5866862060364992,2.658794095172127,-0.07210788913562771,0.1015259737458929
2.4,Vanilla vs Looped,-0.007734732708897553,-0.019215025601885694,0.0037368715410866257,0.18808119188081193,2.352965392027068,2.395902057321288,-0.042936665294220244,0.042936665294220244
2.4,Vanilla vs ALBERT,0.002592086099188042,-0.011023990535436462,0.01610332586885484,0.716928307169283,2.352965392027068,2.387730633121391,-0.03476524109432333,0.042936665294220244
2.4,Vanilla vs Hyperloop,0.005117775089736647,-0.007536875537981722,0.01778063757757833,0.43375662433756623,2.352965392027068,2.383310746882712,-0.030345354855644047,0.042936665294220244
2.2,Vanilla vs Looped,0.023662462019754887,0.013511759864219625,0.03441128334166865,9.999000099990002e-05,2.183083686812373,2.191694966556164,-0.008611279743790945,0.03364610797854484
2.2,Vanilla vs ALBERT,0.011635159563777682,-0.0007498325865895465,0.023885847288265673,0.0700929907009299,2.183083686812373,2.1626932162840653,0.02039047052830778,0.03364610797854484
2.2,Vanilla vs Hyperloop,0.02411444274101426,0.011845654717739653,0.036934167874913895,0.00039996000399960006,2.183083686812373,2.19633932426261,-0.013255637450237057,0.03364610797854484
