Architecture,Category,N,Effect_Size,CI_Low,CI_High
Vanilla,race-colour,516,0.07596061305261746,0.0325925753929633,0.11936151563735667
Vanilla,socioeconomic,172,0.068960092282631,0.005335422220828507,0.13488005746517961
Vanilla,gender,262,-0.06431514705268818,-0.133647808785804,0.001058882726425657
Vanilla,disability,60,0.3970638582369009,0.2559962916863711,0.5294213574079989
Vanilla,nationality,159,0.02238142511935783,-0.052982754855853256,0.09774195826234969
Vanilla,sexual-orientation,84,0.4288534665995407,0.30564971276450636,0.5572875168084177
Vanilla,physical-appearance,63,0.05504758907099145,-0.05807631730730952,0.17293859160441638
Vanilla,religion,105,0.07034146955696936,-0.008689973550854508,0.15493315223995763
Vanilla,age,87,-0.020918902033468592,-0.11172567847555924,0.07198917209246938
Looped,race-colour,516,0.029155756841862845,-0.011264272011989238,0.06930147177331716
Looped,socioeconomic,172,0.059582829235765696,-0.0031387576667585865,0.12060234440723107
Looped,gender,262,-0.07325126263890043,-0.14090096631475543,-0.008198025255615343
Looped,disability,60,0.31690763667977967,0.18300817563267505,0.4421941781409195
Looped,nationality,159,-0.01885247090064989,-0.09172609342053567,0.05363290002762442
Looped,sexual-orientation,84,0.4558218662178957,0.3301265242217109,0.5821192214949544
Looped,physical-appearance,63,0.0870396910667577,-0.030009806260060088,0.2086765558299403
Looped,religion,105,0.06499777649649377,-0.005809485667298003,0.1378853315477651
Looped,age,87,-0.02013422220713768,-0.10047077756302442,0.05621212254539291
ALBERT,race-colour,516,0.07009250033778282,0.02761233073700468,0.11221349914429304
ALBERT,socioeconomic,172,0.051299889532258516,-0.014852988869143394,0.11872445617612162
ALBERT,gender,262,-0.08479699415653585,-0.1529812665809746,-0.019572731508861362
ALBERT,disability,60,0.2586002235903697,0.1169234227175483,0.39456689671603873
ALBERT,nationality,159,-0.00798748788081788,-0.08680583733025017,0.07115078346770498
ALBERT,sexual-orientation,84,0.4726081196441577,0.34431655297976216,0.5992084563120821
ALBERT,physical-appearance,63,0.12646537826538926,0.0036706366928602723,0.2544816553770411
ALBERT,religion,105,0.0746641924543598,0.0029599654825882803,0.14606567445421184
ALBERT,age,87,-0.039380946636353456,-0.12274308355630895,0.047054364285130434
Hyperloop,race-colour,516,0.036817376163887784,-0.0018252539339767182,0.07571942845449206
Hyperloop,socioeconomic,172,0.07417546825266737,0.008187893932607581,0.14094780212191957
Hyperloop,gender,262,-0.07612357332533923,-0.14326920917402683,-0.011472227237645976
Hyperloop,disability,60,0.3553293847121859,0.20924355492787824,0.4959970671818451
Hyperloop,nationality,159,0.011388524131712504,-0.060934157062211856,0.08251994707764293
Hyperloop,sexual-orientation,84,0.36123532809386993,0.24140906873717538,0.4792131235143737
Hyperloop,physical-appearance,63,0.06288965477870649,-0.06690190602480449,0.18912815066442726
Hyperloop,religion,105,0.05409012820597698,-0.01188475235969207,0.12021417711886466
Hyperloop,age,87,-0.05339823993017734,-0.1406225946673287,0.03432832593926771
