Contrast,Category,N,Delta,CI_Low,CI_High,P_Raw,P_Holm,Sig_Holm
Vanilla vs Looped,race-colour,516,0.046804856210754614,0.02786447008790074,0.06522939449549948,9.999000099990002e-05,0.0008999100089991002,True
Vanilla vs Looped,socioeconomic,172,0.009377263046865305,-0.02305680967334771,0.04356516653182507,0.5727427257274272,1.0,False
Vanilla vs Looped,gender,262,0.00893611558621226,-0.015240815257626349,0.03388299343048215,0.46815318468153183,1.0,False
Vanilla vs Looped,disability,60,0.08015622155712115,0.02931222726030478,0.13239307840319214,0.0058994100589941,0.0471952804719528,True
Vanilla vs Looped,nationality,159,0.04123389602000772,0.010685394889417624,0.0717244877739946,0.008399160083991601,0.05879412058794121,False
Vanilla vs Looped,sexual-orientation,84,-0.026968399618355034,-0.06167335630913598,0.006759851551550958,0.1232876712328767,0.7397260273972602,False
Vanilla vs Looped,physical-appearance,63,-0.03199210199576624,-0.08074385069228605,0.01883604986303269,0.22227777222277773,1.0,False
Vanilla vs Looped,religion,105,0.005343693060475587,-0.023348466169481833,0.03509202394525864,0.7287271272872713,1.0,False
Vanilla vs Looped,age,87,-0.0007846798263308995,-0.04428466534252171,0.04211005536908076,0.9738026197380262,1.0,False
Vanilla vs ALBERT,race-colour,516,0.005868112714834643,-0.015305706954120774,0.02713878451940674,0.5928407159284071,1.0,False
Vanilla vs ALBERT,socioeconomic,172,0.017660202750372486,-0.018841356969175348,0.053994851410749216,0.35506449355064496,1.0,False
Vanilla vs ALBERT,gender,262,0.0204818471038477,-0.00895553883235889,0.049067912383909645,0.16578342165783422,0.8289171082891711,False
Vanilla vs ALBERT,disability,60,0.13846363464653116,0.06508032401143253,0.21161331787866494,0.0007999200079992001,0.007199280071992801,True
Vanilla vs ALBERT,nationality,159,0.03036891300017571,-0.005460654265468549,0.06575151013161185,0.09579042095790422,0.5747425257474252,False
Vanilla vs ALBERT,sexual-orientation,84,-0.043754653044617065,-0.08949234739683107,0.0028373419014108264,0.06669333066693331,0.4668533146685332,False
Vanilla vs ALBERT,physical-appearance,63,-0.07141778919439778,-0.14179772559367998,-0.0068082156695023635,0.044995500449955005,0.35996400359964004,False
Vanilla vs ALBERT,religion,105,-0.004322722897390444,-0.0542796580696575,0.049630048716052665,0.8638136186381362,1.0,False
Vanilla vs ALBERT,age,87,0.018462044602884867,-0.02123773417441906,0.060897506653721054,0.3822617738226177,1.0,False
Vanilla vs Hyperloop,race-colour,516,0.03914323688872967,0.017860272663179168,0.061407209956848535,0.00019998000199980003,0.0017998200179982003,True
Vanilla vs Hyperloop,socioeconomic,172,-0.005215375970036365,-0.03861054827982489,0.029658442243209137,0.7636236376362364,1.0,False
Vanilla vs Hyperloop,gender,262,0.011808426272651065,-0.01765056556813271,0.041795751571831824,0.45335466453354667,1.0,False
Vanilla vs Hyperloop,disability,60,0.04173447352471505,-0.02965344025706467,0.11204710457667537,0.2643735626437356,1.0,False
Vanilla vs Hyperloop,nationality,159,0.010992900987645325,-0.01961433093330403,0.04141767988319151,0.48605139486051396,1.0,False
Vanilla vs Hyperloop,sexual-orientation,84,0.06761813850567074,0.01531632452971442,0.12147167764230396,0.017298270172982702,0.13838616138386162,False
Vanilla vs Hyperloop,physical-appearance,63,-0.007842065707715033,-0.0635635438557739,0.049187510305045104,0.7888211178882112,1.0,False
Vanilla vs Hyperloop,religion,105,0.016251341350992387,-0.03741862038498154,0.08218485114639006,0.6476352364763523,1.0,False
Vanilla vs Hyperloop,age,87,0.032479337896708746,-0.013324388968539137,0.07968356825396561,0.1847815218478152,1.0,False
