aggregation,direction_convention,contrast,delta,ci_low,ci_high,p_perm
mean,sent_more always stereotypical,Vanilla vs Looped,0.007626053791669134,-0.0019479794687814992,0.016764899586926254,0.10818918108189181
mean,sent_more always stereotypical,Vanilla vs ALBERT,0.009664607986664958,-0.0008876497918355502,0.020141812832577682,0.0725927407259274
mean,sent_more always stereotypical,Vanilla vs Hyperloop,0.015501040215152523,0.005164810668428227,0.025891126627450516,0.0026997300269973002
mean,official (roles swapped on antistereo),Vanilla vs Looped,-0.0035352149018572933,-0.01296304577860198,0.0057208689858419745,0.4644535546445355
mean,official (roles swapped on antistereo),Vanilla vs ALBERT,-0.0030233926222256098,-0.013967308119712063,0.007418187175437333,0.5803419658034197
mean,official (roles swapped on antistereo),Vanilla vs Hyperloop,0.007671473742733803,-0.0031462869549186744,0.018014154521417882,0.15248475152484753
sum,sent_more always stereotypical,Vanilla vs Looped,0.0919275056464116,-0.005217306118296541,0.1901590276516404,0.0668933106689331
sum,sent_more always stereotypical,Vanilla vs ALBERT,0.09481289616154427,-0.016136759513243688,0.20584373461569025,0.0943905609439056
sum,sent_more always stereotypical,Vanilla vs Hyperloop,0.13047593820302944,0.01928420490165543,0.24074561313854725,0.022097790220977902
sum,official (roles swapped on antistereo),Vanilla vs Looped,-0.05186000835272443,-0.1486826650748138,0.04708514104531634,0.3026697330266973
sum,official (roles swapped on antistereo),Vanilla vs ALBERT,-0.016324634735151958,-0.13348668899821245,0.09569977016710553,0.7731226877312268
sum,official (roles swapped on antistereo),Vanilla vs Hyperloop,0.04877881411210385,-0.06353755088406361,0.15752968345427612,0.39016098390160986
